content,video_title,video_publish_time,duration,average_view_duration,stayed_to_watch_percent,average_percentage_viewed_percent,new_viewers,regular_viewers,views,watch_time_hours,subscribers,impressions,impressions_click_through_rate_percent,performance_tier,publish_hour,day_of_week,title_length,video_age_days,predicted_tier
i57IYmUDNbA,Ishaan Ali Without Filter 😂,2025-09-29,48.0,0:00:32,75.49,67.01,0.0,0.0,7899,41.9204,21,7968,2.65,Mid,0.0,0.0,27,271.0,Top
JPl9QwfCVqs,Starving For Iphone Flex 😭,2025-09-20,35.0,0:00:24,75.38,70.54,0.0,0.0,9886,40.7666,6,6392,1.75,Mid,0.0,5.0,26,280.0,Mid
vVTurfA-ceM,Pakistan K Gujjar 😅,2026-05-03,37.0,0:00:31,75.27,84.37,0.0,0.0,14826,81.4962,24,3480,3.28,Mid,0.0,6.0,19,55.0,Mid
1U7YqHV2FJI,Sourav Joshi Ki Real Wife 🤣,2025-11-18,28.0,0:00:24,75.2,88.53,0.0,0.0,29815,117.3492,23,6724,4.95,Top,0.0,1.0,27,221.0,Top
EOgZpmuR8Zs,Half Krish 🤣,2026-02-27,30.0,0:00:20,75.12,68.02,0.0,0.0,15206,55.9181,170,8414,3.95,Mid,0.0,4.0,12,120.0,Mid
BS-60GAXbG4,Day 1🏋,2024-04-13,47.0,0:00:40,75.0,86.53,0.0,0.0,30,0.3389,0,58,27.59,Low,0.0,5.0,6,805.0,Low
AMoJUCVkXxE,dancing car story-3 😂 #shorts,2024-12-28,47.0,0:00:24,74.94,51.89,0.0,0.0,5695,38.5134,1,670,0.9,Mid,0.0,5.0,29,546.0,Mid
yMpzTGnGfcQ,Didi Ko Boyfriend Caheye 🤣,2025-12-26,31.0,0:00:25,74.94,83.18,0.0,0.0,19651,82.6607,20,9049,1.29,Top,0.0,4.0,26,183.0,Top
FZUjIyOiVeQ,Bindas Kavya Pose 🥵,2025-06-08,52.0,0:00:39,74.89,75.98,0.0,0.0,32663,207.3741,35,5084,5.49,Top,0.0,6.0,19,384.0,Top
VdFZG2AXIkY,Babu Ka Surprise 🤣,2025-08-27,58.0,0:00:30,74.68,52.73,0.0,0.0,3217,17.1549,9,1984,4.59,Mid,0.0,2.0,18,304.0,Mid
MIdFMYwQUbg,Painful Reality Of Ganpati Visarjan 😡,2025-09-05,37.0,0:00:29,74.33,79.2,0.0,0.0,31778,140.3663,104,2757,1.27,Top,0.0,4.0,37,295.0,Top
jTLLEjD8CMs,Indian TV Serials 🤣,2025-11-13,27.0,0:00:21,74.19,79.97,0.0,0.0,9619,33.3279,55,6371,2.26,Mid,0.0,3.0,19,226.0,Mid
o0AQBooY9ss,Dil Chura Liya 🤣,2026-01-08,32.0,0:00:27,74.15,87.22,0.0,0.0,33223,138.1533,76,8064,3.71,Top,0.0,3.0,16,170.0,Top
3nU-MA7RTJw,Biwi No 1 🤣,2025-11-22,29.0,0:00:21,73.89,74.72,0.0,0.0,65165,249.1126,59,6018,6.51,Top,0.0,5.0,11,217.0,Top
Kn30HRCp4wc,brown rang reaction #shorts,2024-12-09,22.0,0:00:16,73.85,75.31,0.0,0.0,4435,20.3623,2,2187,0.5,Mid,0.0,0.0,27,565.0,Mid
zDztqMZLb94,Best Nibba Nibbi Pro Max 🤣,2025-11-12,37.0,0:00:32,73.78,86.89,0.0,0.0,7669,37.0868,14,4760,1.74,Mid,0.0,2.0,26,227.0,Top
B5a0iK1k7p0,Reality Of Some Indian,2025-04-27,41.0,0:00:30,73.77,73.41,0.0,0.0,4484,24.054,9,1646,1.64,Mid,0.0,6.0,22,426.0,Mid
PsyRPgo1Ya8,Desh Ki Beti,2025-02-27,29.0,0:00:18,73.7,65.31,0.0,0.0,951,4.9147,1,708,3.81,Mid,0.0,3.0,12,485.0,Mid
Q9rPQJRv7Jo,Power Of Singing 🤣,2026-03-18,38.0,0:00:29,73.51,77.82,0.0,0.0,26467,133.8327,895,5918,3.51,Top,0.0,2.0,18,101.0,Top
heI7HaCijyw,Ye Nahi Sudhregi 😱,2026-05-08,42.0,0:00:34,73.48,81.36,0.0,0.0,28680,151.6878,38,4600,1.61,Top,0.0,4.0,18,50.0,Top
21HdGyxaHao,Valgar Content Roast 🤯,2025-08-29,51.0,0:00:36,73.38,71.21,0.0,0.0,14984,89.3898,34,2488,2.17,Mid,0.0,4.0,22,302.0,Mid
_eEZEbjLu1E,kajal sejal dark-4 #shorts,2024-11-30,20.0,0:00:16,73.37,82.39,0.0,0.0,36287,164.8261,61,5804,9.8,Top,0.0,5.0,26,574.0,Top
drYi8M7VOFE,Best Of Bindas Kavya 😁,2025-06-16,58.0,0:00:40,73.31,70.44,0.0,0.0,23273,152.3866,25,2470,2.31,Top,0.0,0.0,22,376.0,Top
dujnD0TPuJQ,Chor Police 🤣,2025-10-05,33.0,0:00:28,73.23,85.61,0.0,0.0,16969,78.407,75,11174,4.59,Mid,0.0,6.0,13,265.0,Mid
LT12dzGQO8o,Kajal Sejal Viral 😱,2025-05-21,51.0,0:00:23,72.95,46.32,0.0,0.0,10282,49.1317,10,2904,6.44,Mid,0.0,2.0,19,402.0,Mid
m3gKir9qaKw,Chocolate Chor 😱,2026-02-17,32.0,0:00:22,72.9,71.44,0.0,0.0,17876,70.0737,106,7017,1.64,Mid,0.0,1.0,16,130.0,Mid
5L3S_Cu6_ZA,Best Chai Transition 🤣,2025-10-07,32.0,0:00:25,72.9,80.13,0.0,0.0,24836,101.9741,65,7686,4.19,Top,0.0,1.0,22,263.0,Top
SeGncaHNe2o,Sasta Korean Look 😂,2026-04-29,34.0,0:00:25,72.84,73.94,0.0,0.0,11858,49.1512,12,2804,2.28,Mid,0.0,2.0,19,59.0,Mid
GlTloA1mGBE,Power Of Makeup 5 🤣,2026-03-22,39.0,0:00:30,72.73,77.76,0.0,0.0,39062,204.8067,1004,5807,5.99,Top,0.0,6.0,19,97.0,Top
BUyn6-mXh6Y,Kajal Pandey Roast 🤣,2025-08-28,50.0,0:00:23,72.73,47.63,0.0,0.0,27,0.1094,0,31,25.81,Low,0.0,3.0,20,303.0,Low
6N0cs1TTakA,Bindas Kavya Burn 😱,2025-06-02,60.0,0:00:43,72.71,72.71,0.0,0.0,28688,193.7319,32,3455,5.09,Top,0.0,0.0,19,390.0,Top
00swnhBS_sA,sejal kajal dark #shorts,2024-11-20,28.0,0:00:17,72.66,61.15,0.0,0.0,5477,25.2379,7,4895,11.03,Mid,0.0,2.0,24,584.0,Mid
NRCMveEFTd4,ravi kishan on samay😡 #shorts,2025-02-23,51.0,0:00:19,72.61,38.08,0.0,0.0,462,2.383,0,700,0.71,Low,0.0,6.0,29,489.0,Low
Vkk4b1GupaA,Bindas Kavya Exposed 😡,2025-09-11,35.0,0:00:24,72.54,69.39,0.0,0.0,13856,53.0775,10,2120,3.25,Mid,0.0,3.0,22,289.0,Mid
cczIDTn0Dko,kajal sejal dark queen #shorts,2024-11-22,30.0,0:00:18,72.45,60.97,0.0,0.0,1053,5.3019,3,1882,8.66,Mid,0.0,4.0,30,582.0,Mid
3CVIydheK_w,Pakistani Lendi 🤣,2026-03-29,30.0,0:00:22,72.33,75.8,0.0,0.0,4837,17.8711,6,4212,2.64,Mid,0.0,6.0,17,90.0,Mid
1396iYFCaV8,kajal sejal dark-5 #shorts,2024-11-30,25.0,0:00:14,72.27,57.26,0.0,0.0,1116,4.369,3,1832,6.99,Mid,0.0,5.0,26,574.0,Mid
HT1_y9LfX4E,When She Tries To Be Cute 😳,2025-09-01,50.0,0:00:26,72.22,53.99,0.0,0.0,22,0.0995,0,52,13.46,Low,0.0,0.0,27,299.0,Low
NLJuYAn2QV8,Rolls royce ❌️ Roj Royal✅️,2024-03-28,11.0,0:00:10,72.2,90.92,0.0,0.0,4593,12.7343,1,1148,1.92,Mid,0.0,3.0,26,821.0,Mid
9LfV2Z8XS6g,Chappri In Oyo 🤣,2026-02-08,35.0,0:00:27,72.06,78.28,0.0,0.0,29342,124.1046,145,7351,5.56,Top,0.0,6.0,16,139.0,Top
x78jVOyeygc,dhruv rathee reality! 😱 #shorts #dhruvrathee,2024-05-05,53.0,0:00:36,72.0,69.27,0.0,0.0,55,0.5609,0,70,1.43,Low,0.0,6.0,44,783.0,Low
zDVoByMIiu4,Pookie Baba Roast 🤣,2026-02-14,41.0,0:00:28,71.95,70.28,0.0,0.0,27359,131.2797,132,7887,3.14,Top,0.0,5.0,19,133.0,Top
WnUZnB_B_5w,Abhinav Arora EXPOSED 😡,2025-09-08,37.0,0:00:26,71.91,71.8,0.0,0.0,8993,41.7316,4,2842,1.79,Mid,0.0,0.0,23,292.0,Mid
XAj7Vth3rQw,☠️ #shorts,2024-12-02,23.0,0:00:14,71.91,63.56,0.0,0.0,2756,11.1655,1,1359,2.21,Mid,0.0,0.0,10,572.0,Mid
usXZZlbOw8w,Chappri Holi 🤣,2026-03-09,36.0,0:00:23,71.89,66.29,0.0,0.0,28635,116.5022,721,8677,7.11,Top,0.0,0.0,14,110.0,Top
NgGGLL58dHo,The 50 Show Ka Chappri 🤣,2026-02-06,49.0,0:00:35,71.88,72.12,0.0,0.0,17918,112.37,33,7115,5.35,Mid,0.0,4.0,24,141.0,Mid
TXg4umvUtvE,request to ‎@CarryMinati #shorts,2024-11-21,35.0,0:00:14,71.87,42.23,0.0,0.0,910,3.7287,0,1005,1.39,Mid,0.0,3.0,32,583.0,Mid
2Qs7QcrigtY,Overacting Unlimited 🤣,2025-11-05,35.0,0:00:29,71.83,85.54,0.0,0.0,27924,137.173,108,5313,6.51,Top,0.0,2.0,22,234.0,Top
WncMt9xZdL0,Cringe Level 1000 🤣,2025-10-22,32.0,0:00:24,71.74,77.6,0.0,0.0,30533,118.1819,42,7540,4.47,Top,0.0,2.0,19,248.0,Top
RiRat_zq6ow,Puneet Superstar X IIT Baba,2025-03-05,12.0,0:00:12,71.69,100.79,0.0,0.0,11922,39.4793,2,3615,2.07,Mid,0.0,2.0,27,479.0,Mid
qJHV8FOafBM,Cringe Of Ruchika Malhan 😝,2025-06-27,58.0,0:00:33,71.64,58.18,0.0,0.0,3570,21.8537,0,6567,6.03,Mid,0.0,4.0,26,365.0,Mid
RrvcgeBwkcA,1 Crore Ka Makeup 🤣,2026-02-21,34.0,0:00:27,71.6,81.86,0.0,0.0,38146,158.7692,229,7814,2.93,Top,0.0,5.0,19,126.0,Top
A_lDcSthfIE,Biggest Chapri Is Back 🤣,2025-10-18,31.0,0:00:23,71.51,76.57,0.0,0.0,1181435,4508.6277,6810,1685774,8.86,Top,0.0,5.0,24,252.0,Top
vsgKwyWnI24,Kajal Sejal Roast 😂,2025-05-13,54.0,0:00:18,71.43,34.45,0.0,0.0,4268,15.6204,7,1791,4.52,Mid,0.0,1.0,19,410.0,Mid
CVQI6BjpfCc,Rajat Dalal Masterplan 🤯,2025-09-09,42.0,0:00:28,71.22,67.31,0.0,0.0,4052,19.2146,2,2192,1.32,Mid,0.0,1.0,24,291.0,Mid
vvYrERFVkdc,sejal exx dark queen #shorts,2024-12-01,28.0,0:00:18,71.08,67.8,0.0,0.0,3007,15.6031,1,2812,8.29,Mid,0.0,6.0,28,573.0,Mid
0Qh5Cg09d6A,Saurav joshi Cringe roast 🤮 #roast #shorts,2024-04-26,43.0,0:00:32,71.05,75.3,0.0,0.0,27,0.2428,0,159,7.55,Low,0.0,4.0,42,792.0,Low
KNieH66XYn4,Girls Makeup Transition 🤣,2025-10-04,33.0,0:00:26,70.96,80.0,0.0,0.0,30369,128.5186,58,13607,9.85,Top,0.0,5.0,25,266.0,Top
qjOo3P7CwGs,Gadhe Se Shadi Karle 🤣,2025-12-01,29.0,0:00:25,70.74,88.66,0.0,0.0,2502,8.9789,5,2561,2.3,Mid,0.0,0.0,22,208.0,Mid
126u5gBU34A,Best Board Drawing 🤣,2025-10-03,39.0,0:00:31,70.74,80.48,0.0,0.0,14907,71.7304,51,9561,3.23,Mid,0.0,4.0,20,267.0,Mid
B3AOCe5fTMg,dancing car story 😂 #shorts,2024-12-28,45.0,0:00:29,70.66,66.51,0.0,0.0,7603,63.0788,2,865,1.27,Mid,0.0,5.0,27,546.0,Mid
JpADEJRDx9M,R.I.P BTS fans🤣🤣 #roast,2024-07-14,21.0,0:00:17,70.44,84.46,0.0,0.0,3322,15.5702,1,1642,6.58,Mid,0.0,6.0,23,713.0,Mid
PxncLX6E7jQ,Inspiring Urfi Javed 💀,2025-06-14,60.0,0:00:28,70.42,47.81,0.0,0.0,79,0.4102,0,27,11.11,Low,0.0,5.0,22,378.0,Low
-8ImlGbMoXQ,saurav joshi vlog secret 😂 #shorts,2024-10-06,17.0,0:00:10,70.36,64.6,0.0,0.0,3785,11.5326,9,862,1.86,Mid,0.0,6.0,34,629.0,Mid
2Ix8gwp3mZA,triggered insaan roast ruchika rathore #shorts,2024-12-21,44.0,0:00:20,70.24,46.28,0.0,0.0,499,2.7907,0,876,2.97,Low,0.0,5.0,46,553.0,Low
5hkwSsvIcTM,Black Lover 🤣,2026-02-18,33.0,0:00:28,70.13,85.83,0.0,0.0,23098,98.5243,106,7508,1.72,Top,0.0,2.0,13,129.0,Top
BKTtjss6ceE,the audiance 💀 #shorts,2025-01-03,24.0,0:00:08,70.0,35.42,0.0,0.0,7,0.0165,0,29,10.34,Low,0.0,4.0,22,540.0,Low
53Dog-VGjqs,Desi Korean 😂 (Sasta Korean),2026-05-12,35.0,0:00:26,69.84,76.3,0.0,0.0,8179,33.0395,56,5005,6.29,Mid,0.0,1.0,28,46.0,Mid
iw1MtsITyJs,Joshi Family Exposed 😂,2025-05-25,47.0,0:00:29,69.78,63.24,0.0,0.0,8545,42.3183,12,2249,2.85,Mid,0.0,6.0,22,398.0,Mid
hmdYneZZwJw,kajal sejal dark #shorts,2024-11-18,25.0,0:00:19,69.62,77.85,0.0,0.0,58161,310.0682,114,56640,9.15,Top,0.0,0.0,24,586.0,Top
dTtBQeU7BJQ,Best Boys Makeup Transition 🤣,2026-05-09,34.0,0:00:26,69.6,79.18,0.0,0.0,30978,133.1808,21,5177,3.3,Top,0.0,5.0,29,49.0,Top
hhjK9JalxcQ,munawar trolled 😂 #shorts,2024-10-05,13.0,0:00:09,69.53,76.91,0.0,0.0,1381,3.8245,1,825,1.82,Mid,0.0,5.0,25,630.0,Mid
HIdH3pKq_mY,Makeup Ke Power 🤣,2025-12-07,29.0,0:00:23,69.39,79.33,0.0,0.0,26945,98.664,31,2985,3.02,Top,0.0,6.0,17,202.0,Top
MmHpppzCYeY,Best Wedding Talent 🤣,2026-06-06,39.0,0:00:25,69.32,64.33,0.0,0.0,3364,13.6234,28,1218,10.43,Mid,0.0,5.0,21,21.0,Mid
pLfkiSZSGt0,Muskan Karia Roast,2025-04-30,55.0,0:00:24,69.19,44.07,0.0,0.0,10461,47.3452,7,25315,7.63,Mid,0.0,2.0,18,423.0,Mid
TSKUBmR-Csw,hardik pandya divorce reaction😱 #viral #reaction #shorts,2024-05-26,34.0,0:00:18,69.13,55.01,0.0,0.0,723,3.7465,1,972,2.47,Mid,0.0,6.0,56,762.0,Mid
s8cbwlv402M,Kajal Ka Sach,2025-02-27,25.0,0:00:15,68.98,61.68,0.0,0.0,1136,4.3756,1,1033,3.19,Mid,0.0,3.0,13,485.0,Mid
13mtkMTABFI,Payal Gaming-Roast,2025-04-17,50.0,0:00:29,68.98,58.28,0.0,0.0,3750,19.3254,6,1745,4.3,Mid,0.0,3.0,18,436.0,Mid
uWl_ABqAg74,When News Becomes Entertainment,2025-05-10,43.0,0:00:18,68.96,43.64,0.0,0.0,2186,7.6323,0,1177,1.02,Mid,0.0,5.0,31,413.0,Mid
m4qmQLLnwYc,Power Of Makeup 🤣,2025-10-06,38.0,0:00:29,68.85,78.85,0.0,0.0,40208,183.2624,100,9442,8.04,Top,0.0,0.0,17,264.0,Top
_HBFje0Uf94,Pawan Singh Rise and Fall 🤡,2025-09-07,38.0,0:00:27,68.73,73.49,0.0,0.0,10913,47.2844,17,3143,1.43,Mid,0.0,6.0,27,293.0,Mid
cIsqCK7O2zc,Pakistani Chapri 🤣,2025-11-01,33.0,0:00:26,68.64,79.27,0.0,0.0,6106,23.6603,9,5489,3.02,Mid,0.0,5.0,18,238.0,Mid
dw9pBvV7Hzo,End Tak Dekhna 🤣,2025-12-27,34.0,0:00:28,68.59,83.08,0.0,0.0,33060,144.9476,61,10183,1.32,Top,0.0,5.0,16,182.0,Top
UvwtUgTnTN8,elvish yadav Diss-track 😡 #shorts #elvishyadav,2024-04-01,34.0,0:00:17,68.57,50.85,0.0,0.0,193,0.9269,0,553,7.23,Low,0.0,0.0,46,817.0,Low
NlsusbKsu68,The Power Of Makeup 🤣,2025-10-09,34.0,0:00:26,68.43,79.34,0.0,0.0,50169,199.3252,98,7654,4.26,Top,0.0,3.0,21,261.0,Top
A2srESg05EU,kajal sejal dark-9 #shorts,2024-12-18,33.0,0:00:17,68.42,53.12,0.0,0.0,4106,19.7545,4,1492,6.9,Mid,0.0,2.0,26,556.0,Mid
fg3Jn0odGgg,samay roast harsh #shorts,2024-12-09,29.0,0:00:18,68.33,63.4,0.0,0.0,5578,28.4722,3,786,0.76,Mid,0.0,0.0,25,565.0,Mid
FN5qL8VIMxM,Mani meraj Exposed 🤯,2025-09-16,36.0,0:00:27,68.3,76.2,0.0,0.0,9269,39.2752,6,3344,2.3,Mid,0.0,1.0,20,284.0,Mid
tIuz1tW4U_0,kajal sejal dark-17 #shorts,2025-01-07,29.0,0:00:19,68.29,67.97,0.0,0.0,28,0.1533,0,98,13.27,Low,0.0,1.0,27,536.0,Low
s3Lp_Qh_P7k,Best Funny Answer 🤣,2025-10-12,35.0,0:00:26,68.14,76.79,0.0,0.0,28825,133.5669,63,8404,1.94,Top,0.0,6.0,19,258.0,Top
PQXejN1N4B4,New Singer From Pakistan 😡,2025-05-15,54.0,0:00:30,68.09,55.6,0.0,0.0,2535,13.1476,1,1319,0.99,Mid,0.0,3.0,26,408.0,Mid
fVxRsBfns0s,sejal x kajal #shorts,2024-11-18,34.0,0:00:23,67.72,68.95,0.0,0.0,10212,66.4529,12,2771,8.77,Mid,0.0,0.0,21,586.0,Mid
g1c_0M_zZjk,Chappri Makeup 🤣,2026-02-10,29.0,0:00:24,67.5,85.51,0.0,0.0,36780,140.0202,191,7367,8.0,Top,0.0,1.0,16,137.0,Top
RNv-PgSuY28,shilajit ❌ redbull ✅-2 #shorts,2024-12-10,48.0,0:00:22,67.5,47.46,0.0,0.0,688,4.2868,0,932,0.32,Low,0.0,1.0,30,564.0,Low
TNUSFmSSJc4,Chacha Ke Karname 🤣,2025-12-05,27.0,0:00:16,67.46,62.79,0.0,0.0,9948,27.7871,4,2353,1.83,Mid,0.0,4.0,19,204.0,Mid
1eZjhRPULQg,Beti Bachawo Beti Padawo,2025-03-03,36.0,0:00:14,67.4,39.96,0.0,0.0,722,2.8146,2,962,2.18,Low,0.0,0.0,24,481.0,Low
HexB_FwtsP4,Latter Par Chai Gira Diya 🤣,2025-12-30,29.0,0:00:25,67.17,88.78,0.0,0.0,73624,277.679,116,14034,8.48,Top,0.0,1.0,27,179.0,Top
HGC3BtMOclc,sejal roast video 😂 #shorts,2024-11-16,33.0,0:00:14,67.13,44.18,0.0,0.0,780,3.1585,1,1085,3.32,Mid,0.0,5.0,27,588.0,Low
6J9UuiDTNAU,Sasta Makeup 🤣,2026-02-07,26.0,0:00:21,67.09,84.04,0.0,0.0,185761,596.1235,2235,8120,7.01,Top,0.0,5.0,14,140.0,Top
B_KBF0-mZJQ,funny reel reaction 😂 #funnycringe #funny #shorts,2024-05-18,12.0,0:00:12,66.85,104.27,0.0,0.0,11922,41.3328,16,937,1.81,Mid,0.0,5.0,49,770.0,Mid
uocQ3CwsnLE,saurav joshi vlog secret 😂 part 2 #shorts,2024-10-10,23.0,0:00:13,66.77,60.45,0.0,0.0,636,2.4564,1,647,5.56,Low,0.0,3.0,41,625.0,Low
KgoCrzcNJvk,Hilarious Roast of Sejal Exx #comedy #shorts,2024-10-11,29.0,0:00:24,66.71,85.33,0.0,0.0,11965,81.9973,20,1695,2.24,Mid,0.0,4.0,44,624.0,Mid
bJr5tcpVJU0,Rohit Khatri Wife 😂roast,2025-08-11,62.0,0:00:40,66.23,65.45,0.0,0.0,776,4.5925,1,2162,8.28,Mid,0.0,0.0,24,320.0,Mid
ojU8LtWb2jc,chapri dream😆 #shorts,2024-11-26,19.0,0:00:12,66.17,64.59,0.0,0.0,1760,5.9457,1,953,0.84,Mid,0.0,1.0,21,578.0,Mid
LzGS0TCRWaU,Tera Naam Kya Hai 😂,2025-08-03,42.0,0:00:22,66.01,53.53,0.0,0.0,3111,11.7901,5,2414,1.12,Mid,0.0,6.0,19,328.0,Mid
-4Osjkrggu4,costume cutter-2 #shorts,2024-12-11,27.0,0:00:19,65.98,71.27,0.0,0.0,10566,56.2982,0,2704,1.11,Mid,0.0,2.0,24,563.0,Mid
VikZpsIGdGE,kajal sejal dark-13 #shorts,2024-12-26,25.0,0:00:16,65.78,64.17,0.0,0.0,1339,5.886,2,1217,5.26,Mid,0.0,3.0,27,548.0,Mid
ZJQKhbEIWf4,nibba roast 😂 #shorts,2024-10-07,31.0,0:00:21,65.69,67.91,0.0,0.0,4049,23.6446,10,886,2.26,Mid,0.0,0.0,21,628.0,Mid
wwYOJwz2C0o,bachpan ki aadat #shorts,2024-12-11,52.0,0:00:23,65.57,45.52,0.0,0.0,841,5.4993,0,790,1.01,Mid,0.0,2.0,24,563.0,Mid
G5i-pSjVeHg,newspaper ki dress 😱,2024-06-10,40.0,0:00:21,65.56,54.72,0.0,0.0,2673,16.2365,8,737,1.49,Mid,0.0,0.0,20,747.0,Mid
dtFkyvtdmc4,saurav joshi ultimate content formula revealed 😂 #shorts #comedy,2024-11-07,26.0,0:00:13,65.52,51.73,0.0,0.0,20,0.0747,0,39,12.82,Low,0.0,3.0,64,597.0,Low
j09k9JILOcA,Fake Attitude 🤣,2026-02-13,36.0,0:00:27,65.5,76.73,0.0,0.0,4019,16.4152,22,1920,10.89,Mid,0.0,4.0,15,134.0,Mid
EXpjQ9UCiX8,maheep singh-2 😂 #shorts,2025-01-02,53.0,0:00:31,65.46,59.77,0.0,0.0,2129,18.6308,0,625,0.16,Mid,0.0,3.0,24,541.0,Mid
RDIBj-_TElw,Aloo Khaoge ? 😂,2025-09-25,39.0,0:00:26,65.39,68.69,0.0,0.0,3942,15.8014,11,5282,3.14,Mid,0.0,3.0,15,275.0,Mid
bd3p6o-eUGQ,Ye Kya Mil Gaya 🤣,2025-12-14,7.0,0:00:09,65.3,139.48,0.0,0.0,14540,17.6126,5,3307,3.78,Mid,0.0,6.0,17,195.0,Mid
D997Lle1RNI,Sejal Exx Roast,2025-03-09,30.0,0:00:16,65.22,53.84,0.0,0.0,1508,6.5769,1,2053,5.75,Mid,0.0,6.0,15,475.0,Mid
9ZSITR17UFc,Boy To Girl Makeup Transition 🤣,2026-05-09,34.0,0:00:29,65.17,86.92,0.0,0.0,276,1.1053,0,112,7.14,Low,0.0,5.0,31,49.0,Low
8MAYuW1gMI4,Chamach Trend 🤣,2026-02-19,34.0,0:00:24,64.97,71.77,0.0,0.0,1226,4.8386,22,341,18.48,Mid,0.0,3.0,15,128.0,Mid
nfjQaGLL48g,Bindas Kavya is Innocent 😡,2025-07-29,54.0,0:00:30,64.73,56.44,0.0,0.0,5048,25.6255,3,7860,6.36,Mid,0.0,1.0,26,333.0,Mid
owASCmmqDIM,Queen Sparrow 🤣,2025-10-03,34.0,0:00:24,64.64,72.45,0.0,0.0,5321,18.6195,6,9394,3.56,Mid,0.0,4.0,15,267.0,Mid
e1OG9XzGERg,The Delusional Country 😂,2025-05-17,52.0,0:00:22,64.63,43.8,0.0,0.0,3131,12.1046,4,2267,1.41,Mid,0.0,5.0,24,406.0,Mid
Cvc51yTWxw4,When TikTok Returns 😂,2025-08-29,38.0,0:00:23,64.6,62.5,0.0,0.0,659,2.3227,1,2388,3.81,Low,0.0,4.0,21,302.0,Mid
oKJPcP1Rc08,WORLDCUP X SASTA SANDEEP MAHESHWARI ! #shorts #shortsfeed #reaction,2023-11-25,42.0,0:00:29,64.59,70.22,0.0,0.0,14504,118.1145,23,2027,5.03,Mid,0.0,5.0,67,945.0,Mid
5fvY-vhpEb0,Cousin Lover Hamza 😂,2025-05-20,57.0,0:00:26,64.54,45.88,0.0,0.0,1909,8.7769,3,1910,1.73,Mid,0.0,1.0,20,403.0,Mid
3-4TeWY3T58,fortuner leli 😍 #comedy #funnycringe #funny,2024-05-29,26.0,0:00:21,64.52,83.92,0.0,0.0,20,0.1212,0,107,0.93,Low,0.0,2.0,43,759.0,Low
XOo5PSLXGtU,roast tony kakkar #shorts,2024-12-09,34.0,0:00:14,64.44,43.0,0.0,0.0,2941,11.9353,1,791,0.51,Mid,0.0,0.0,25,565.0,Mid
fQMsgXLO1EM,Overacting ki godaam 😡,2025-08-12,55.0,0:00:34,64.36,61.94,0.0,0.0,12268,66.024,36,2673,3.74,Mid,0.0,1.0,22,319.0,Mid
MEPXMUIyGHY,Jarurat 😂 (Nibba Nibbi),2026-05-11,47.0,0:00:30,64.1,64.02,0.0,0.0,20611,92.5726,125,6876,3.93,Top,0.0,0.0,23,47.0,Top
DeZfriPAVk4,Kajal Pandey Hidden Roast,2025-03-10,29.0,0:00:15,63.98,52.42,0.0,0.0,1390,5.7426,2,1171,3.67,Mid,0.0,0.0,25,474.0,Mid
AG35g93F66M,Sourav Joshi 😱,2025-09-24,40.0,0:00:23,63.96,58.51,0.0,0.0,3137,11.5896,4,4940,1.17,Mid,0.0,2.0,14,276.0,Mid
CN7yfT_0c4w,punjabi on samay raina show 😂 #shorts,2024-10-07,15.0,0:00:12,63.87,85.29,0.0,0.0,1265,4.4836,0,1160,0.69,Mid,0.0,0.0,37,628.0,Mid
fLy6L1U5zbs,roast ajaz khan 😑 #shorts,2024-07-24,45.0,0:00:18,63.72,40.41,0.0,0.0,1412,7.1129,0,933,2.57,Mid,0.0,2.0,25,703.0,Low
1c7aqNN3G0A,Sejal Ji Roast 😂,2025-05-23,60.0,0:00:28,63.72,48.27,0.0,0.0,6553,33.2757,9,1903,2.21,Mid,0.0,4.0,16,400.0,Mid
pJthKTyXytU,Bindas Kavya vs Devika  😱,2025-06-19,55.0,0:00:36,63.63,67.09,0.0,0.0,15843,87.4896,17,3636,5.28,Mid,0.0,3.0,25,373.0,Mid
IY39jWOhzuc,Princely Free Fire Roast,2025-03-10,29.0,0:00:19,63.61,66.16,0.0,0.0,2091,10.2299,4,1607,2.61,Mid,0.0,0.0,24,474.0,Mid
Ohc03uAlf_8,Rajputani 😱😅,2026-05-05,27.0,0:00:17,63.41,65.52,0.0,0.0,2890,8.4739,4,3266,2.05,Mid,0.0,1.0,12,53.0,Mid
nbZiS8glwe4,rajattt bhai 🔥 #shorts,2024-11-19,23.0,0:00:14,63.24,62.34,0.0,0.0,1890,7.5277,2,815,1.35,Mid,0.0,1.0,22,585.0,Mid
bUjOsRmnev4,Why Pawan Singh Left Rise & Fall 😲,2025-09-21,36.0,0:00:27,63.14,77.54,0.0,0.0,9912,41.0309,8,13870,4.97,Mid,0.0,6.0,34,279.0,Mid
463LDsC47SQ,Arvind kejriwal ghar pe aaye 😅 #funny,2024-03-23,21.0,0:00:22,62.96,105.47,0.0,0.0,17,0.1046,0,15,33.33,Low,0.0,5.0,37,826.0,Low
iYMO3y1T4Eo,Iphone Flex Gone Wrong 😂 (Android Wale King),2026-05-06,32.0,0:00:22,62.8,69.86,0.0,0.0,6405,22.9327,3,3734,1.34,Mid,0.0,2.0,44,52.0,Mid
umtRWZvXj6M,Lollypop 🤣,2025-12-19,35.0,0:00:26,62.75,77.04,0.0,0.0,68,0.2544,0,63,20.63,Low,0.0,4.0,10,190.0,Low
